,id_base_legal,descripcion_base_legal,decreto_base_legal,estado_base_legal,id_afiliacion
0,b03f1f3fa28f4de18afea20c08c5b4de,IAdliU7KsrdDfLt50TUq,Ley de Seguridad Social,Activo,06511648f12041349bf4f1baf3b2950d
1,36c7f43f2c324c71802b8b69858b2267,3LXXte3W8SZJT5dVieXM,Norma Creación,Inactivo,8d9c931dd90f4bc1a88f9b1fee5aa0b3
2,d3ca83a17bfc4b0a88e54c17bf6eaa3f,7RnO3gHNNZW4bfqaHPn5,Ley Orgánica del Sistema Nacional de Contratación Pública,Activo,b6264049daa04a79a188a230e37ed4ea
3,e495b1f498194090b2c414a9400f8158,XmeaYlk4rycLjNXcfLpY,Ley Orgánica del Sistema Nacional de Contratación Pública,Inactivo,f5072cb09acf498ea6eccd639ac743cb
4,bb41a10194c64b6caf40dc2b924486c7,KLMT53gUSTGII3tZYANC,Ley de Seguridad Social,Activo,d70ba926bf5e4f67bdbabd100b99c619
5,636c9775e87b4b5b93847d5248708743,IT9LbIVdai4gumrl70d8,Norma Creación,Activo,e60f3410aa0e4a7ea3f795892f1bee91
6,e2df688791134cfba0631ce9da4d20fe,lzsKTU7Y0cqC5KsYNkJO,Ley de Seguridad Social,Inactivo,47d81ab2e1e94bd4996b398c68626fac
7,9a6c32d1d5d041fbb5424c269e52a602,5zh3oMGmZQooGxJBbaWB,Ley de Seguridad Social,Activo,094bef20c3c445c68c7c74694f42d06a
8,c801b67a9a044730a3185b1ae03a0f64,Xcp7A33ikDN0G2YK5tNL,Ley de Seguridad Social,Inactivo,4c9c971a87db4526bd1309bd1eef042a
9,18809c1db2d74058bba1792b6e441516,iPtVDl7jvjmYL7zOaRwQ,Ley Orgánica del Sistema Nacional de Contratación Pública,Activo,ceb9a284ac9f4e9aba79d99078a1cd09
10,574693f42b114735975fcfac493e7fb8,r6gLTj7uREUaQGU1lcSD,Ley Orgánica del Sistema Nacional de Contratación Pública,Activo,e9c73723ff4148f18282ee9e3c29fdb3
11,6b4f428f7ea641fea74998e1af61cc4d,8sPwRqjwrg96GSaM4VOT,Ley Orgánica del Sistema Nacional de Contratación Pública,Activo,9327dedc1d0f48a4b4f027cbde81f921
12,4204851f8e484a4a870b51afff558d6d,8wSeG93D9e8rd9kfHOFn,Norma Creación,Activo,b108d14a8f7b4b61a5483ae0aebec21d
13,40d6f93c845d4139b2ea595a7d4aa510,quboKQ46Bh1Ne591XU2t,Norma Creación,Activo,8908eb74bd024958832ff6373e49bd70
14,6808f589c7944976824070a2b25a3eec,UlPhfHitOZ43Sk6uP9S2,Norma Creación,Activo,0396c490183b4d428506652b6e1c3ce3
15,f1a96055b3524dc2b6323e128ba7b50f,kbyvIjquvZgD14gTly1V,Ley Orgánica del Sistema Nacional de Contratación Pública,Activo,188ef7a965d743469e4e7e8a485d785b
16,2f8a21a64a0949e499bb4f0fde89230a,xgPcetBtWo2DoGk135h0,Normal de Regulación,Activo,46e1532d0b6c49c09a1141eb0c3ab543
17,9ac4e117a64d43fcb1f3fea7aee131c3,0va8wIipmjJ7JNKc18ZY,Norma Creación,Activo,cc31461971954da88b2dc4c4e395c1e6
18,020eda903178438b85f59cb11e2c5459,g681ubWRVrFXASmviP7w,Ley de Seguridad Social,Activo,63c8809f16f34d73a65cf06ec0e8f12d
19,e619faa44c154f70b0ed4b7c586ffcd7,LFTeUFX4uUidt2FHb9Fn,Normal de Regulación,Activo,fe2b959d04b44d91bd141e579b7e5d6d
20,d0e2df32ab7846ee8e5f3c83b36602f0,u0VKeD4vAh08NMB1N63i,Ley Orgánica del Sistema Nacional de Contratación Pública,Activo,128eaad24793466fbb10dbd5f4e26884
21,5bb033e83ee545fc9da231aedb67c80f,OZfLdQcMV0nBLtmT66pZ,Ley de Seguridad Social,Activo,2e2c9215299d43cab13a55a683fe9d41
22,9d5c6764b7a24125be5e45c04b8eef0b,mk8OQ76hWssrAUTgOyRL,Ley Orgánica del Sistema Nacional de Contratación Pública,Activo,556d0cfa4a23420e96aea9c648bcdf0e
23,ff73cac160a84ca390ef6a7152bd8cee,hjDRlSiBY8kEjmooXXqk,Ley Orgánica del Sistema Nacional de Contratación Pública,Activo,bb446cfb17ea4342bc3592c6ac6e3327
24,67097a5e63f1408e8e2de1e2a56924de,2oGMfFNEIVyvBoDOPJoo,Ley de Seguridad Social,Activo,d8ddd1876dfc401b82d2221443c3bab5
25,a71c8a1116fa4848a1790ddb6e27c804,2Z7s1ItiS2kZJDIca2z6,Ley Orgánica del Sistema Nacional de Contratación Pública,Activo,11745f5828fa44caad308ebc1526fd3c
26,01c67df6129b4074b33033c45cd47be6,g7VzlPsIwzHtNjyKhVBY,Ley de Seguridad Social,Inactivo,fbb12eed4c904a44b527d19063c0f9c4
27,bc169cac88f642619fb64d2d4cf063d0,eVZTizdaonf9RNsn6dPN,Ley Orgánica del Sistema Nacional de Contratación Pública,Activo,35e94532d2144c9b9ce3e27e657f8b02
28,37173e5d213e4ae394016ee71b2850b3,375X8j6nK7SgYDMNNPh5,Ley de Seguridad Social,Activo,3c0ef979bc6b47b4b3fd58c74c27be80
29,987d1131c9c84c9996cd8560195e9da4,whqdACMSXLLfn6aRW4q3,Ley Orgánica del Sistema Nacional de Contratación Pública,Activo,1f27ceee56ed4636a9ac539b5fb4e489
30,2e575b57adab4bb798776cfa507c406a,dmSmkU9h68pjrxsnECx6,Normal de Regulación,Activo,acdb10b177df4fcaa1e1e03af05c07cc
31,4a8d668b0cd94a40ba2f5d380a695355,U15emYZuMyHV7sSoTs8P,Ley Orgánica del Sistema Nacional de Contratación Pública,Activo,d9a917c4dddc4db8ab88e96929559ef9
32,5ef62b384a264634ac3763ceb6b3d063,V86lsaxCEp2mOpm5ee1v,Normal de Regulación,Activo,9f1d7fc76ef945e5a7291c170343ff10
33,ba6d605c8bc54bea9365974e710a2e28,WV5I02p6Bj4VlnI5vpjl,Ley Orgánica del Sistema Nacional de Contratación Pública,Activo,d2e2f546d0e041bc8dc2659ac3e237e0
34,b14cd177427740bdb762041833c293fe,AiIe1BsML5EROIjOI2qZ,Ley Orgánica del Sistema Nacional de Contratación Pública,Inactivo,d16ce7b09a8541a7af0cba81f76115e8
35,0fc4e47ecd3b4d0d8004f5dd45d99001,lrF3RyU8XdpbwSNoTcbE,Norma Creación,Activo,3b1c9185fd0d4d198e5c5e4bc8e68124
36,34b1668695fc4deb89adc4c584abdd68,91twFO1jMfbCJjog5l0Q,Ley Orgánica del Sistema Nacional de Contratación Pública,Inactivo,488a279c74284cf6aa19d5486e0af1ca
37,e683201698c541b9ab78d2e4347f9a2c,TkU3alez33tq6uDeqtMH,Norma Creación,Activo,c081808962ac485582b3c3d69cabc871
38,48b18a6069d849c59e261906b1665a18,kWdUTIklJXgvQc5LXrSG,Ley de Seguridad Social,Inactivo,63a5b3de95f14fd78c5c6247c5b07cb2
39,bb616cc508af4f31b921803300c6ef8e,s1ntbdrXnAuPpKoRBEnH,Ley de Seguridad Social,Activo,b6f87c72d2ed4a07a7c45e6583dcd03f
40,bb010dfa9bd1400d9e98fc1d91a4b26e,BGnFzeaPgyJE4kA5pim2,Ley Orgánica del Sistema Nacional de Contratación Pública,Inactivo,61ec9231ddba428181be0f9870c4cb4b
41,4c333ef9fe284836b2946de303f0470a,PB2x6revYOLNGqsNkTMe,Ley Orgánica del Sistema Nacional de Contratación Pública,Activo,929b30fe6eaa4dd081f744cc1cddab99
42,11f7d145067e4ba08aaf65038b61dd05,Upbotpqb6zcGfGeS2IxJ,Ley de Seguridad Social,Activo,58b98136c8ec4e949c392934af7dcd2b
43,4688f42871ea481e9c0891bf3c92e42f,6YMLdCvSCSSLhbGPiEp3,Ley de Seguridad Social,Inactivo,9d0f6ccb1d0e4b75bc57b1da61e782bf
44,7ee4bdfc59b848f08cd9c5b4e634eca9,a01n2ysiL5dx5uWWXYcJ,Ley Orgánica del Sistema Nacional de Contratación Pública,Activo,17c3ef7ca8f14fc4876cffaebcead228
45,1da8e87167b749e8976a1414bf022fcf,V8wuLIrP8uclggcrtUiz,Norma Creación,Inactivo,a35439ad242f425b92bc66e6f12a8742
46,197264aaa07f40f6a4df7d356d79c550,wIrKtUNngHCByGC2RBKM,Ley de Seguridad Social,Activo,44b2d6db568e4ca3900b21a77cf9865a
47,7ed10df5d26c495a81c871b8ca200df5,naqq2w1Zuyx5M5N3Jaj3,Ley Orgánica del Sistema Nacional de Contratación Pública,Activo,65386f1bf91546cd9e7b0a5327ffeb7c
48,6ecc4c1b8cda4f688d43e108e7a4cdf2,oh00ZvkuGOadJrjowGRF,Norma Creación,Activo,fd7165ad903147239dc50414afed48ea
49,af5c470be2cb40149ff955aef29f4ce4,Zcm5zHd1ThiEuq83XVDS,Ley Orgánica del Sistema Nacional de Contratación Pública,Activo,17846f7a376d49b4a8d2df100fdca9cd
50,88a0e8ab62c146fbabb5839896495aa7,2qlUdUyIGchRUzpuP0O8,Ley de Seguridad Social,Activo,1bd1c47e17084b78981adaa2c67ae393
