,id_codigo,nombre_codigo,articulo,estado_codigo,detalle_codigo,id_base_legal
0,606fdac07fb24d5490c9b523e6ff4a01,Código Orgánico Integral,96,Activo,rK7LPmwUJWnuWn7qly9p,7f87d191c4ec48cb909a4f57f3c7702e
1,a009ac1ac8854a56ae7ac3992b38224f,Código del Trabajo,95,Inactivo,OGTDgwahD0rD5zqAy5bl,28178d015efa440e9aac80f6526d2b22
2,7d70026f9536451ab7368457fb59d859,Código Orgánico Integral,61,Activo,Tqt1j3wvGMRbrOvMBrId,9556a8b2085d4a55945d77da9a1ebaf1
3,08337e6d7b314f5fb5e7b7d13fa97dff,Código del Trabajo,80,Activo,JZ63Id5XkpDgDtVekEnG,a92f01f816b94af3ad49ee4a3f98a5cf
4,3c596478c7694281ac731e2673dfb107,Código de Comercio,83,Inactivo,BgSy8umPItLFDRy8bQ5Q,3ad653d4a89d4a3e94ac49ae5f971874
5,f644e58ec39149e1830ee6788ef703e0,Código Orgánico Integral,93,Activo,fzbzowdMZrDYtOqUKkUi,da847089df21419ea49753c90e627bb1
6,8512d47c3e454cfdb588f6591f2dd981,Código del Trabajo,32,Activo,DpSBLXwXgTL0YbYP9ikN,8549376142834ed987b38baec24e4fcf
7,cf861b24c5bf426ca917f1530ca50842,Código Cívil,89,Activo,6C9L3yE0y34MVfAFCgRG,4c43725b3aef4d47973a48982cd4a3f8
8,c33330f606f54f18992cb1499a7e35ed,Código Cívil,91,Activo,bjyBrWmPhHgQWXOrU03R,ac6489b364a847ea98326a820f166086
9,ceb5d842a2b343a3a959a27d07ad560c,Código Cívil,62,Activo,RI8mjBm0p10DewLrIABC,2c2e6e269cff43248b41a60ca27132a8
10,d628b58bc0d04637bac94ace323b8ebe,Código del Trabajo,27,Inactivo,OOSkXZncdmzfWTWTuTZv,add3310cb4664276b56551c2f1f27bda
11,e646663f2889445d8ffa349bdbdd5248,Código de Comercio,07,Activo,ZhPLHwMR9PsbFq8PWYBp,fe70cc86485a4f25b03fb094b4170e15
12,65f11ef350a54935896ec5a66385fc4d,Código Orgánico Integral,28,Activo,ugkups0PSNYPYjShLGNo,c47a7534d9df468494f98c1401e27ceb
13,fc02e258db9a43aab0cdaba09b6be7e3,Código del Trabajo,51,Activo,Z0eLvBer1Vo3PdqyViCC,444463a5d5c54581a29e82f0f929c9fd
14,c30871aecd3146d08da225078ada4d26,Código Orgánico Integral,69,Activo,tKxa6G5n9eyrLu8uhFfR,ac29c5b74afa402f9aa7a3a404f8edd8
15,fc5489bf940f4f3e9ae3f38e81a25e78,Código del Trabajo,45,Activo,XILsCMnGn4mvortNWTCg,a28ff5d223e049f9b800c2d59e87dd8d
16,0eba2308c3694ba1847cc17508412cbf,Código del Trabajo,53,Activo,q77nOsWZJiefRZfv6rI1,7bf56d7dd58e4fdd8743a2808ceef431
17,f72d9116cf0a4b83881f735abd0ab590,Código del Trabajo,68,Activo,QkLn1gigWuarCpmyRNck,5174c7c77111471c8f37022990345031
18,48f5765cd6cb4c3a828b00b7c1e4ef0e,Código Cívil,35,Activo,Xx1xlBh41akKvBsVDDTA,ebdab51fda4041c9a8060b37fe5eaa9f
19,ab88871c48314e419d5d09dc8d10e04f,Código del Trabajo,74,Activo,KuQrtIG8YHHkIE17jCh2,71ee15233b054dc79e5bb156cbec4f00
20,5961b318c570462c81fff4048786f173,Código del Trabajo,97,Activo,qYWrr8yDOUBSoX7tx62V,8d816c531a2a4aca8dbed92c6b0c4029
21,5cc533ee284e424d8c210db8fc4a86d1,Código del Trabajo,13,Activo,QSgVm0L0bwzg71M3hRwb,4c08f27a96de4825b89343292e700281
22,18f348a8ac2e4a3894d8dc004612c51b,Código del Trabajo,79,Activo,b0qBJJeOyRiHVo49pXSB,0a2f39bdb7394434af2ccaf2e3361ddf
23,835f42a58a2947da926f138fa6acc9ac,Código Cívil,37,Inactivo,a3IeEYmHqBWerP2ypMzF,9988ab38a2cb4749aa2ae96cce5ac743
24,d60d0c2bb7084ea3ab1d4e0e0d4eb660,Código del Trabajo,44,Activo,NjJh6Fu0HCE2ns7jKdM7,ffb358c1d73647a1a49275b6f4807760
25,69d73086746a493fb151ea119fd87a20,Código Orgánico Integral,93,Inactivo,Ig1HUTnQpoJGTJLEny0B,08a5300f2edf402ab87f6e692200328f
